product_name,product_description,style
雪纺连衣裙,这款雪纺连衣裙是轻盈柔软的质地，带有浪漫的碎花印花，穿上后显得温柔可人。适合夏季出门穿着，搭配一双凉鞋和小包包就可以了。,田园、休闲
丝绒套装,这款丝绒套装采用柔软光滑的面料，套装包括上衣和裙子两个部分，上衣部分是露肩的设计，裙子则是一条微微有弹性的迷你裙，非常适合出席晚宴或派对。,优雅、性感
毛呢大衣,毛呢大衣是秋冬季节的经典单品，这款毛呢大衣采用厚实保暖的面料，设计简单大方，双排扣式样，搭配黑色长靴和白色衬衫非常有气质。,优雅、知性
半身裙,这款半身裙采用简约大方的设计，不规则的剪裁，蓬松的裙摆，非常适合日常穿着。搭配一件简单的T恤和一双小白鞋就可以了。,休闲、简约
运动套装,这款运动套装是轻便舒适的面料，套装包括运动上衣和运动裤，适合进行各种户外运动，例如慢跑、健身等。,运动、健康
牛仔裤,这款牛仔裤采用修身的设计，适合大部分女性穿着，可以搭配各种上衣，例如白色衬衫、黑色小背心等。,休闲、百搭
毛衣连衣裙,这款毛衣连衣裙是舒适保暖的面料，颜色为深蓝色，设计上比较简约，适合在秋冬季节穿着，搭配一双长靴和一件棉质外套非常有气质。,优雅、保暖
百褶裙,这款百褶裙是轻盈柔软的面料，颜色为粉色，非常适合春季穿着，搭配一件简单的白色上衣和一双粉色高跟鞋就可以了。,甜美、可爱
连衣裤,这款连衣裤采用修身的设计，面料柔软舒适，颜色为浅蓝色，适合在夏季出门穿着，搭配一双白色凉鞋和小包包非常清新自然。,清新、休闲
长袖T恤,这款长袖T恤是舒适柔软的质地，颜色为灰色，非常适合春秋季节穿着，搭配一条牛仔裤和一双运动鞋就可以了。,休闲、简约
毛呢短裤,这款毛呢短裤采用复古的设计，颜色为棕色，搭配一件简单的T恤和一双白色球鞋非常有型。,复古、休闲
高领毛衣,这款高领毛衣采用柔软保暖的质地，颜色为深红色，搭配一条牛仔裤和一双黑色靴子非常有气质。,优雅、保暖
卫衣连衣裙,这款卫衣连衣裙采用舒适柔软的面料，颜色为黑色，非常适合春秋季节穿着，搭配一双白色运动鞋和小包包非常休闲自然。,休闲、简约
荷叶边连衣裙,这款荷叶边连衣裙是轻盈柔软的面料，颜色为粉色，搭配一双高跟鞋和小包包非常优雅浪漫。,优雅、浪漫
短款羽绒服,这款短款羽绒服采用保暖的面料，颜色为红色，搭配一条黑色牛仔裤和一双运动鞋非常休闲舒适。,休闲、保暖
半高领毛衣,这款半高领毛衣采用柔软舒适的质地，颜色为白色，搭配一条灰色裤子和一双黑色高跟鞋非常优雅大方。,优雅、知性
短款皮衣,这款短款皮衣采用经典的设计，颜色为黑色，搭配一件白色T恤和一条牛仔裤非常有个性。,个性、时尚
长袖连衣裙,这款长袖连衣裙采用柔软舒适的面料，颜色为粉色，适合春秋季节穿着，搭配一双小白鞋和小包包非常清新自然。,清新、甜美
羊毛大衣,这款羊毛大衣采用保暖的面料，颜色为灰色，设计简约大方，非常适合秋冬季节穿着，搭配一双黑色长靴和一条黑色裤子非常有气质。,优雅、保暖
衬衫裙,这款衬衫裙采用简约大方的设计，颜色为白色，适合春季穿着，搭配一双粉色高跟鞋和小包包非常优雅甜美。,优雅、甜美
半身短裙,这款半身短裙采用迷人的设计，颜色为黑色，适合夏季出门穿着，搭配一件简单的T恤和一双凉鞋非常性感时尚。,性感、时尚
长款风衣,这款长款风衣采用保暖的面料，颜色为卡其色，设计简单大方，非常适合春秋季节穿着，搭配一双白色球鞋和一条牛仔裤非常休闲自然。,休闲、简约
毛衣裙,这款毛衣裙采用保暖的面料，颜色为米白色，适合春秋季节穿着，搭配一双黑色长靴和小包包非常优雅大方。,优雅、保暖
牛仔短裙,这款牛仔短裙采用修身的设计，颜色为蓝色，适合夏季出门穿着，搭配一件白色T恤和一双凉鞋非常清新自然。,清新、休闲
小西装,这款小西装采用简约大方的设计，颜色为黑色，适合春秋季节穿着，搭配一条灰色裤子和一双黑色高跟鞋非常优雅知性。,优雅、知性
棉麻连衣裙,这款棉麻连衣裙是舒适柔软的质地，颜色为白色，适合春夏季节穿着，搭配一双小白鞋和小包包非常清新自然。,清新、休闲
长款卫衣,这款长款卫衣采用舒适柔软的面料，颜色为深灰色，非常适合春秋季节穿着，搭配一条黑色裤子和一双运动鞋非常休闲自然。,休闲、运动
针织连衣裙,这款针织连衣裙采用保暖舒适的面料，颜色为灰色，适合秋冬季节穿着，搭配一双黑色靴子和小包包非常有气质。,优雅、保暖
运动短裤,这款运动短裤采用轻便舒适的面料，适合进行各种户外运动，例如慢跑、健身等，搭配一件简单的T恤和一双运动鞋就可以了。,运动、健康
